,Material_Name,C10_LSE,C11_LSE,C12_LSE,C13_LSE,C14_LSE
111,V001,0.957689539882734,0.9445977088414308,0.9445977088414308,0.9430486867663628,0.9449691672619884
112,V002,0.9240312487072012,0.9201623606307324,0.9201623606307324,0.9334325673117202,0.9402812127214212
113,V003,0.9216671141329016,0.92572518502193,0.92572518502193,0.930445844385533,0.9420209341776
114,V004,0.9540249739404872,0.9346441779508804,0.9346441779508804,0.9383337871831924,0.9458388350116912
115,V005,0.939625057259028,0.9382743480062006,0.9382743480062006,0.9421383231693552,0.94843424082884
116,V006,0.9630059282870916,0.93239383939661,0.93239383939661,0.9428334553476192,0.9440238000271536
117,X001,0.8406610380088065,0.8336411536023981,0.8336411536023981,0.9365434117066764,0.9430755376830244
118,X002,0.9547263317618224,0.961034654001326,0.961034654001326,0.9607948086201732,0.958035948597142
119,X003,0.9618566106629938,0.9595789699900852,0.9595789699900852,0.9693051685108088,0.960698363597537
120,Z003,0.9745230911909027,0.952245729490076,0.952245729490076,0.9079472373604054,0.9502199690545724
121,Z004,0.9526187862886308,0.9426083258405404,0.9426083258405404,0.9184376857561932,0.9536406319957618
122,Z005,0.9570198719861236,0.94565323419433,0.94565323419433,0.9000541212619148,0.948740679768119
123,Z006,0.6671851114079503,0.8136724614097028,0.8136724614097028,0.8324033582156961,0.8194057956092687
124,Z007,0.910784636789694,0.9066232339372504,0.9066232339372504,0.9069765158723327,0.9005223811796617
125,Z008,0.9663460791055184,0.9604938328731908,0.9604938328731908,0.9634607097012104,0.967045222412081
