Material_Type,Material_Name,C10_library_LSE,C11_library_LSE,C12_library_LSE,C13_library_LSE,C14_library_LSE,OE_retrieved_LST,C10_OE_retrieved_LSE,C11_OE_retrieved_LSE,C12_OE_retrieved_LSE,C13_OE_retrieved_LSE,C14_OE_retrieved_LSE,OE_retrieved_LST_uncertainty,C10_OE_retrieved_LSE_uncertainty,C11_OE_retrieved_LSE_uncertainty,C12_OE_retrieved_LSE_uncertainty,C13_OE_retrieved_LSE_uncertainty,C14_OE_retrieved_LSE_uncertainty
Urban,Black Nextel Paint,0.97279356,0.967758516,0.967758516,0.970051801,0.971433496,306.63748,0.9426269,0.940252,0.9410725,0.9493854,0.9496497,1.4526031,0.031313468,0.028435742,0.02660998,0.022117626,0.021866556
Urban,Slate stone Shingle,0.812454591,0.685199962,0.685199962,0.887432781,0.920072891,308.02927,0.748206,0.659168,0.65892965,0.83479446,0.8893214,1.48445,0.026469441,0.02322468,0.021770146,0.02085176,0.021495476
Urban,Black gloss paint,0.95950574,0.948594683,0.948594683,0.947038455,0.949204878,305.8616,0.94638604,0.93748957,0.93787694,0.9389925,0.9412572,1.4343348,0.031497918,0.028465241,0.026626509,0.022033013,0.021782247
Urban,Flat Black Paint,0.955861186,0.957957523,0.957957523,0.944737508,0.934299155,304.96396,0.9666249,0.9647744,0.965382,0.94989467,0.94553876,1.4182667,0.03217448,0.029091729,0.027185569,0.022067213,0.021752173
Urban,Copper Metal,0.913889914,0.981639273,0.981639273,0.987636865,0.981749981,305.37466,0.9270265,0.97366226,0.97629523,0.9927752,0.974742,1.4034041,0.031136014,0.029327922,0.027503943,0.02293859,0.022387419
Urban,Flat Black Paint,0.939850213,0.938565339,0.938565339,0.920627188,0.918740668,304.3969,0.96318257,0.95639837,0.95615786,0.9365225,0.9353777,1.3979667,0.032353625,0.029012065,0.027107622,0.021934927,0.021605039
Urban,Pine Wood,0.969045636,0.973210538,0.973210538,0.916882521,0.9247521,304.6973,0.98744774,0.9836226,0.9833003,0.9336813,0.930696,1.3999982,0.033129793,0.029610554,0.027684852,0.021874761,0.021474298
Urban,Pine Wood,0.96944844,0.970483418,0.970483418,0.9263851,0.933142375,305.07388,0.97799456,0.9729968,0.9727883,0.93540853,0.93396974,1.4071615,0.032765053,0.02940473,0.02748397,0.02190667,0.021543134
Urban,Black unspecified rubber,0.921053368,0.890463687,0.890463687,0.919648614,0.923183701,305.24612,0.91814053,0.89384156,0.89354914,0.91777337,0.92872906,1.4137349,0.031088322,0.027874507,0.02603409,0.021930939,0.021765508
Urban,Reddish asphalt Shingle,0.975227728,0.931482635,0.931482635,0.957371507,0.96314969,307.1726,0.92361367,0.89724123,0.89746964,0.9237774,0.9357792,1.4474081,0.030960636,0.027870871,0.026046416,0.021953082,0.021786645
Urban,Construction Asphalt,0.937506113,0.944644372,0.944644372,0.966079517,0.965158945,306.09702,0.92392343,0.9281761,0.9291223,0.9539896,0.9529935,1.4435368,0.030941918,0.028192995,0.026392564,0.022197599,0.021966645
Urban,Asphalt Shingle,0.982859204,0.957220695,0.957220695,0.962270593,0.965512506,306.8509,0.9420107,0.92693204,0.92738426,0.9362432,0.94177157,1.4515076,0.03133239,0.028294915,0.026470207,0.02199539,0.021779707
Urban,White rubberized coating,0.964791329,0.962172981,0.962172981,0.969514014,0.972436505,306.61188,0.9360834,0.9351751,0.9359897,0.94970787,0.95021546,1.4508908,0.031187246,0.02834567,0.026517564,0.022139179,0.021893576
