,Material_Name,C10_LSE,C11_LSE,C12_LSE,C13_LSE,C14_LSE
37,Reddish brown fine sandy loam,0.8766884960645941,0.8828570589746976,0.8828570589746976,0.9636788799393032,0.9669376654514006
38,Very pale brown to brownish yellow interior dry gravell,0.9346940875241568,0.9617771691977018,0.9617771691977018,0.9729211645968922,0.9683631282283524
39,Black loam,0.971994664706034,0.9690531886452802,0.9690531886452802,0.9741694410760168,0.9748635697082968
40,Brown to dark brown gravelly fine sandy loam,0.9753065763498928,0.9715426844508158,0.9715426844508158,0.975907204308122,0.976204589756574
41,Brown silty loam,0.9510119263858944,0.9415511139800148,0.9415511139800148,0.9684226860084048,0.9668850915965164
42,Dark yellowish brown micaceous loam,0.9416067186825526,0.9323245918406108,0.9323245918406108,0.9688011176221424,0.9689914863211668
43,"Dark reddish brown, organic-rich, silty loam",0.9828483251024804,0.97810810949895,0.97810810949895,0.9703651752660069,0.9669328607656398
44,Pale brown dry silty clay loam,0.9347559628993152,0.9633131640880296,0.9633131640880296,0.9772658263344002,0.97578752849633
45,Brown fine sandy loam,0.9242071173980116,0.9162713095656032,0.9162713095656032,0.9653475038152513,0.9652712432891024
46,Grey calcareous silty soil,0.8865283902104818,0.9027763537673348,0.9027763537673348,0.9640119674090908,0.9675146362598775
47,Soil 90P_476S from Nebraska Soil Lab,0.8917966559518211,0.8924472247609156,0.8744442613561619,0.9605863155342084,0.969806178593656
48,Soil Sample of Haliia from Nebraska Soil Lab,0.969475288077666,0.9813603311734216,0.9738120193670022,0.9916578650887088,0.9929592921744864
49,Soil 90P4255S from Nebraska Soil Lab,0.9372731061891476,0.9461170405392894,0.9355409574825152,0.975402452840772,0.9760756075706816
50,Soil 90P3921S from Nebraska Soil Lab,0.902813199369157,0.9308863846964478,0.909899912308439,0.951559036736014,0.9508606642230216
51,Soil 88p4643S from Nebraska Soil Lab,0.951136340596018,0.9559550234808376,0.9457857839890056,0.9724915312368044,0.981999316263987
52,Soil 90P4172S from Nebraska Soil Lab,0.9044646712823368,0.9309133878407077,0.9212458839967718,0.9650096835817376,0.9675380172424332
